OK | License (driver ID) | VERIFIED 47 O.S. §6-112(A) -- must produce and provide physical possession of license on officer's demand; failure is a misdemeanor
RI | Officer condition (marked/uniform) | null (searched negative at index level only: full catchline indexes of ch. 31-27 and ch. 12-7 read, no uniform/marked-vehicle condition on stops located; the ledger downgrades this to an index-level negative, not a full-text-confirmed absence)
RI | Duty to inform (firearm) | UNVERIFIED (complete ch. 11-47 catchline index read plus bodies of §§11-47-8 and 11-47-11; no duty located, but remaining sections were screened by catchline only)
RI | Passenger ID | null (ledger's 51-state passenger-ID finding: no passenger is covered by a driver-ID statute anywhere absent individualized suspicion; RI's only passenger-reaching provision found is the consent-to-search protection in §31-21.2-5(b), not an identification duty)
SC | License (driver ID) | VERIFIED S.C. Code §56-1-190 -- licensee must display license upon demand of DMV, Public Safety, or law enforcement officer
SC | Detention cap | VERIFIED §17-13-170(C)(2) -- bare-reasonable standard, no fixed time limit stated
SC | Officer condition (marked/uniform) | VERIFIED §23-6-100(B)-(C) -- troopers must wear complete uniform with badge displayed and department vehicles must carry distinctive markings, but no consequence clause conditions a stop, arrest, citation, or evidentiary competence on compliance, and no savings clause either -- "an equipment mandate with no teeth in either direction"
SC | Duty to inform (firearm) | VERIFIED §23-31-245 (2024 Constitutional Carry Act) -- openly or concealed carrying a weapon does not itself create reasonable suspicion or probable cause to search, detain, or arrest; no notification duty exists, having been affirmatively removed
SC | Impersonation | VERIFIED §16-17-720 (current 2025 text) -- conduct clause expressly reaches arresting, detaining, and searching an automobile while impersonating an officer; no vehicle-based aggravated grade, no fraud gate
SC | Sign citation | null (§56-7-10 and §56-7-15 fetched in full; §56-7-15(A) only establishes the uniform ticket may be used to arrest for a freshly-committed offense -- no signature or refusal-to-sign clause located in either section)
SC | Passenger ID | null (§56-5-1280 occupant accident-report duty fetched and rejected as not an identification duty; ledger's 51-state passenger-ID finding applies -- no passenger duty absent individualized suspicion)
