HI | License (driver ID) | VERIFIED H.R.S. §286-116(a) -- officer has no discretion, must demand display of license and insurance card; electronic insurance card permitted
IL | Checkpoint authority | null (DOM keyword scan of 566,000 characters of ch. 11 Rules of the Road: zero "roadblock", zero "systematic", zero "roadside safety check"; single "checkpoint" hit in §11-501.01 is a DUI-fund spending/hire-back clause, neither authorizes nor restricts) VERIFIED negative
IL | Checkpoint authority | VERIFIED 625 ILCS 5/13C-15 -- bars roadblocks and roadside pullovers in emissions on-road testing programme specifically, narrow to that program
IL | Consent to search | VERIFIED 625 ILCS 5/11-212 -- most detailed reported-datum statute found; officers must record whether consent search was requested of vehicle/driver/passenger(s) and whether given/denied, tier 3 (records the request, does not regulate it)
IL | K-9 sniff | VERIFIED 625 ILCS 5/11-212 -- records whether a consent search / K9 sniff/alert occurred, reported as datum, reaches passengers explicitly
IN | License (driver ID) | VERIFIED Ind. Code §9-24-13-3 -- display "in the form of a physical credential" upon demand; section reportedly carries mobile-credential/phone protections (exact subsection text not captured, re-pull before use)
IN | Officer condition (marked/uniform) | VERIFIED I.C. §9-30-2-2(a) -- officer may not arrest or issue traffic information/summons unless wearing distinctive uniform and badge, or operating clearly marked police vehicle, subject to subsection (b) exceptions
IN | Duty to inform (firearm) | null (full catchline list IC §§35-47-2-0.1 through -24 read; nothing concerns notifying officer or producing license at stop) HIGH confidence negative, upgraded from earlier MEDIUM
IN | Stop-and-ID | VERIFIED §34-28-5-3.5 -- knowingly/intentionally refuses to provide name/address/DOB or driver's license if in possession; sits in Title 34 civil law/procedure, tied to infractions/ordinance violations, not criminal stop-and-identify
IN | Passenger ID | VERIFIED §34-28-5-3.5 -- reaches non-driver by own terms, conditioned on that person's own violation/infraction (civil-procedure code); one of only 3 states nationally with such a provision plus HI outlier
IN | Detention cap | VERIFIED §34-28-5-3(a) -- detain "for a time sufficient to" three enumerated acts: inform person of allegation, obtain name/address/DOB or license, allow execution of notice to appear; sharpest task-anchored cap in project
IN | Impersonation | VERIFIED IC §35-44.1-2-6(a) -- intent to deceive OR to induce compliance with instructions/orders/requests; second limb squarely fits a fake traffic stop scenario
IN | Police-practices chapter | null ("Byron Ratcliffe Sr. Racial Profiling Reform Act" HB1323 is not codified in current Indiana Code, despite search-summary claims)
IA | License (driver ID) | VERIFIED Iowa Code §321.174(3) -- display upon demand of judicial magistrate, district associate judge, district judge, peace officer, or examiner of department
IA | Recording own stop | VERIFIED §808B.2 -- one-party consent, participant/prior-consent exception
IA | Duty to inform (firearm) | VERIFIED §724.4D ("Carrying of dangerous weapons -- duty to cooperate -- reasonable suspicion") verified as to catchline and existence; §724.5 was replaced by 2021 HF 756, now a permitless-carry provision, any citation to old §724.5 as duty provision is stale
IA | Officer condition (marked/uniform) | null (§321.279 eluding statute body reads "marked or unmarked" -- EXPRESS NULL, legislature considered vehicle marking and expressly declined to condition offense on it) VERIFIED, strongest negative type in project
IA | Officer condition (marked/uniform) | null (§321.492 "Peace officers' authority" subsections 1-3, natural home of a marked/uniform rule, has none) VERIFIED null
IA | Officer condition (marked/uniform) | VERIFIED §804.14(1) -- arrester required to state that he is a peace officer (shape 3, must-identify)
IA | Sign citation | VERIFIED §805.3 (Procedure) -- before release, cited person must sign citation (paper or electronic) under penalty of providing false identification under §719.1A; signature also serves as written promise to appear; §805.1(1) authorizes citation in lieu of arrest; §805.6(2)(b) stacks appearance-promise, unsecured appearance bond, and identification into single signature -- only state where signature carries its own criminal penalty [remedy: none, this is the operative duty, supersedes earlier "not located" entries]
IA | Sign citation | VERIFIED §805.1(3)(b) -- lists refusal to produce satisfactory identification and refusal to sign citation as consecutive numbered factors for citation guidelines; ID/signature pairing, sixth state found with this pairing
IA | Stop-and-ID | UNVERIFIED §719.1A -- REJECTED as false-statement offense, not a stop-and-identify duty: "Providing false identification information" criminalizes knowingly providing FALSE ID info to a known peace officer; silence is not the offense
IA | Checkpoint authority | VERIFIED ch. 321K ("Vehicle Roadblocks") -- authorizes emergency and routine roadblocks, but only for licensing, registration, safety equipment and chs. 481A-483A; requires administrative-level siting, signage, marked cars, non-arbitrary selection
IA | Police-practices chapter | null (§80.40 described by a search summary as a profiling-policy statute; actual text is "Bureau of cyber-crime", read in full as PDF)
IA | Police-practices chapter | null (ch. 80H described by a search summary as profiling; actual text is the "Blue Alert Program")
